1,0.54092,0.65349,0,0.59004,0.316,0.67819,0,0.58979,0.17986,0.60818,0.56549,0,0
0.54092,1,0.62558,0,0.55736,0.31577,0.64412,0,0.55762,0.19406,0.58086,0.54263,0,0
0.65349,0.62558,1,0,0.67569,0.36522,0.78059,0,0.67698,0.2095,0.7001,0.64887,0,0
0,0,0,1,0,0,0,0.74179,0,0,0,0,0.66995,0.67274
0.59004,0.55736,0.67569,0,1,0.26157,0.70117,0,0.65465,0.09951,0.63174,0.58178,0,0
0.316,0.31577,0.36522,0,0.26157,1,0.37823,0,0.26248,0.65189,0.34376,0.32879,0,0
0.67819,0.64412,0.78059,0,0.70117,0.37823,1,0,0.69965,0.21577,0.72353,0.67064,0,0
0,0,0,0.74179,0,0,0,1,0,0,0,0,0.69142,0.69781
0.58979,0.55762,0.67698,0,0.65465,0.26248,0.69965,0,1,0.10165,0.63171,0.58348,0,0
0.17986,0.19406,0.2095,0,0.09951,0.65189,0.21577,0,0.10165,1,0.19627,0.19947,0,0
0.60818,0.58086,0.7001,0,0.63174,0.34376,0.72353,0,0.63171,0.19627,1,0.61033,0,0
0.56549,0.54263,0.64887,0,0.58178,0.32879,0.67064,0,0.58348,0.19947,0.61033,1,0,0
0,0,0,0.66995,0,0,0,0.69142,0,0,0,0,1,0.62828
0,0,0,0.67274,0,0,0,0.69781,0,0,0,0,0.62828,1
