1,0.5529,0.65367,0,0.62623,0.46981,0.6845,0,0.62415,0.38461,0.063176,0.58144,0,0
0.5529,1,0.6415,0.0020016,0.64098,0.48883,0.67411,0,0.63986,0.42225,0.0099391,0.58234,0,0
0.65367,0.6415,1,0,0.72831,0.54889,0.79884,0,0.72808,0.45436,0.063958,0.67917,0,0
0,0.0020016,0,1,0.017132,0.25157,0,0.85805,0.019098,0.34609,0,0,0.74277,0.7418
0.62623,0.64098,0.72831,0.017132,1,0.53716,0.76368,0.0079827,0.80689,0.4489,0,0.67633,0,0
0.46981,0.48883,0.54889,0.25157,0.53716,1,0.57915,0.24718,0.53581,0.76867,0,0.51984,0.18441,0.19413
0.6845,0.67411,0.79884,0,0.76368,0.57915,1,0,0.76336,0.48158,0.055745,0.71693,0,0
0,0,0,0.85805,0.0079827,0.24718,0,1,0.0085592,0.34233,0,0,0.75066,0.75368
0.62415,0.63986,0.72808,0.019098,0.80689,0.53581,0.76336,0.0085592,1,0.44818,0,0.67628,0,0
0.38461,0.42225,0.45436,0.34609,0.4489,0.76867,0.48158,0.34233,0.44818,1,0,0.4387,0.26962,0.27594
0.063176,0.0099391,0.063958,0,0,0,0.055745,0,0,0,1,0.019253,0,0
0.58144,0.58234,0.67917,0,0.67633,0.51984,0.71693,0,0.67628,0.4387,0.019253,1,0,0
0,0,0,0.74277,0,0.18441,0,0.75066,0,0.26962,0,0,1,0.65508
0,0,0,0.7418,0,0.19413,0,0.75368,0,0.27594,0,0,0.65508,1
